,review,rating
29,last time location look receipt plain sausage biscuit double quarter pounder,1 star
30,sarcasm minute wait drive room temperature caramel mocha full,1 star
31,location wack order people parking lot minute order dinner food multiple time right pinballz arcade parking lot line order menu change look mcdonald breakfast deluxe morning thank,2 stars
32,honor price extra pickle,1 star
33,minute mcdonald open window sure employee lobby window need mcdonald corporate power house reputation unprofessional experience fast food location,1 star
34,good great last long mean service fast attitude,2 stars
35,horrible store work general manger store supervisor work manger,1 star
36,3rd time,1 star
37,staff friendly job,5 stars
38,awesome service food hot good,5 stars
39,large fry chicken deluxe sandwich pay window spicey chicken sandwich deluxe crispy chicken sandwich second time lettuce tomato order chicken sandwich deluxe crispy chicken,1 star
40,minute order i able order normal menu,1 star
41,bad mcdonald wrong time today thru person next window order end order entire staff confused hell outta sky pay speaker head set cook bad leadership,1 star
42,girlfriend tonight food pm mobile order well system foot food great mcdonald app,3 stars
43,location food hotfresh smile,5 stars
44,drink employee rude replace drink,1 star
45,large fry buy arriving destination fill carton small portion right management correct customer wrong large expect large noticed bad experience low order order good business people exceptional experience goal opposite,2 stars
46,answer call messed order hour,1 star
47,food none fake smile welcome mcdonald great day something wrong major attitude shift manager guy tall black guy name,1 star
48,horrible service worker stank attitude reason working window mute attitude mad miserable work mess order phone ridiculous long hair daughter happy meal fry extra fry meal,1 star
49,good last night ridiculous sat hour order line building window order next line window d d order time fault second lane closed second lane open sign wet floor sign menu lane open side slammed thru window shut deplorable customer service life manager worker last night,1 star
50,location tonight see oreo different mcdonald unbelievable ice cream,1 star
51,rude customer service unprofessional attitude food complimentary item order job many negative review vow cold bean,1 star
52,representative rude disrespectful order drive window location manager,1 star
53,order correct food speaker order taker well fast food place,3 stars
54,good quick drive service long line,4 stars
55,,3 stars
56,time great staff food wrong line lol def customer service well food kid good customer service guy difference,4 stars
57,food restaurant late night door order minute food order drive half hour good lot people food driver long time thank,1 star
58,darn time hour day day week place open hour year people shower brush tooth change clothe robot clone example sheep hot ngl,4 stars
59,late order wrong person order slow,4 stars
60,manager rude research diner 3rd time manager discription manager spanish tall long blondoish hair pony tail previous review good need check,1 star
61,mother rude coworker spanish woman employee front people,1 star
62,order young lady drive thru issue order order second window huge bag stuff little bit check order item fry first window 2nd window lady second window fry receipt bag order lady second lady due inconvenience order correct ownership wrong show compassion prude fry manager,2 stars
63,order wrong employee change lot quick nice low location total welcome change haha,5 stars
64,fry container sauce dining room reason fun back line sauce fry great huge part mcdonald guy,3 stars
65,extra star staff polite drive issue order wrong ask fix leave minute new new people order wrong repeat time sure right need sure whole ticket quarter pounder multi menu choice bacon lettuce tomato tea dish soap fountain funky taste numerous time fry,2 stars
66,wrong order,1 star
67,mcdonald bad inventory short bbq sauce conspiracy lover mcy nugget bbq sauce sauce overall self,2 stars
68,uber connectivity issue order location know fault mcdonald address issue phone hook attempt call dial tone place short staffed people,1 star
69,meal large fry large drink ticket medium drink much single parent little bit money unhealthy food wasting money,1 star
70,customer service good staff game money management jock phone night next visit,1 star
71,nugget way salty crunchy mean cashier middle order nice polite fry cold good place food affordable price,3 stars
72,morning worker tired hell sure odd machine total silence rude friendly sound peppy full life am nice,3 stars
73,drive half hour trouble explanation second window least dozen soda first time bad service middle day hour,1 star
74,dry make let macdonald meat bun open bag cheese hamburger wrapper,1 star
75,buyer fast food cheap love particular location place frequent location incorrect item time order order premise note correct mistake consideration rest food cold soggy time,1 star
76,service item error small location good place quick bite,4 stars
77,cashier nice clean food,5 stars
78,manager satisfied customer great customer service,4 stars
79,drive,1 star
80,star evening manager nice person training crew new help everytime return order kitchen sandwich proper way sandwich cherry disposition child respect thing star,4 stars
81,staff kind food timely manner reason preferred location thru line long time block entrance,4 stars
82,awful experience attendant untrained unprofessional manager attendant duty fyi impossible shift manager specific attendant contact corporate,1 star
83,decent location team friendly drive thru normal meal period sure close regular meal period fresh food one heat lamp store clean,3 stars
84,hashbrown fire today frappe machine work time fast worker,5 stars
85,order day issue hour location show uber late night order midnight order hour list hour location order midnight place great service,3 stars
86,happy meal plain cheeseburger burger grandkid,1 star
87,fast food company food company line robot replace kitchen staff hate job,1 star
88,mcdonald order wrong window uber single time complete order today fry chicken sandwich fry complicated manager new girl oick window bag hand ked rude face,1 star
89,night time team unprofessional meal extra fry food window fry meal extra fry fry pay difference extra fry order response,1 star
90,3rd time row drive time messed order d lesson thought easy location suck number receipt answer,1 star
91,bad experience regular size coffeei window small woman time many size coffee small medium large holding small regular medium drove splendas creamer side regular sugar creamer top coffee full coffee ground little piece plastic,1 star
92,go hour order twice case employee kitchen attention bad business opening least sign,1 star
93,place kiosk order number food table frozen lemonade bit regular drink much trouble refund difference sure new way,3 stars
94,burger raw middle burger stuck brat raw burger ability star rating,1 star
95,negative star single time order attitude correct mistake benefit doubt offbad day thinking time different staff horrible corporate need staff week chicfila college work ethic time management teamwork basic manor chicfila car order right first time min mcdonald car min try order logical sense moral rant time money corner chicfila,1 star
96,food employee microphone mess food unprofessional uncalled receipt bad convenient management,1 star
97,place location rude service order wrong busy rude,1 star
98,good fry ice cream world,5 stars
99,great people english spanish spanish speaker english order people smart put lobby order,4 stars
100,love area food family grandchild stuff couple day great good spot grandkid food great thing right thank,5 stars
101,work order night minute time thru line easy way,3 stars
102,horrible customer service order wrong french fry fine wait fast food place fry minute bad fryer money industry business fry ready minute,1 star
103,horrible service thru dam thing right interest voice wrong drive direction sad,1 star
104,new self touchscreen hard order simple item staff preoccupied order correct parfait sweet tea empty,1 star
105,staff rude napkin table dirty son lunch movie lunch start lunch people late breakfast weekend lunch sign breakfast day review highway,1 star
106,general fast food place service morning quick breakfast time usual morning spot several different breakfast item wife order single order pancake sausage breakfast kid checkout expensive first cashier order order total pancake sausage breakfast wife girl oop offer fix refund great job,1 star
107,place well different crew member lady name window attitude work mcdonald people customer service,1 star
108,mind happy option 24hr food case way home night friend munchie day pretty average mcds business night order box minute speaker closed 24hrs 24hr place close night several month deep cleaning sign blindsided place closed worker lazy job shut store bad habit ice cream machine pm sorry ice cream machine lobby bad part website complaint store 24hr ice cream issue week ice cream machine upgrade location time single mention closed 24hr location standard mcds synonymous lazy one cake,1 star
109,stringent ketchup last visit,2 stars
110,charge piece egg bacon egg cheese mcgriddle thru inside manager charge employee order sub bacon egg,1 star
111,love price french fry,5 stars
112,burger big mac middle part bread center baconcheese burger fine big mac bread piece bread bottom piece meat piece bread piece meat piece bread home bet,2 stars
113,surprised mcdonald side town coffee drinking cup hot water mcdonald coffee water,1 star
114,terrible service hand change,1 star
115,busy slow dangerous intersection drive food couple time old dry bad good,2 stars
116,mcdouble large soda burger pink red center last time fast food,1 star
117,food good atmosphere restaurant clean thing floor wet sign present slick good quick place bite,4 stars
118,dissatisfied service location big quarter pounder son burger mustard onion pickle son upset food burger slopply meat way burger bad dry little boy upset mad mommy little boy,1 star
119,d option good location way work home finish work option cause willing drive burger dry patty old nugget money home,2 stars
120,late night midnight rare good experience overnight staff show item quality food good difficulty order,2 stars
121,piece hair food pancake syrup ranch open bag bag complaint manager answer call rude certification health disgusting bathroom disgusting bad mcdonald life country,1 star
122,location polite fast overwhelming accurate order location bad experience great staff,5 stars
123,star early morning lady rude different job rude,1 star
124,wait spot jelly trash customer service blame management accountable,1 star
125,onion steak bagel meal house onion picante sauce sauce packet bag able eat,1 star
126,personal nice everytime mess order extra extra topping toping plain bacon mcd double daughter mayo mac sause allergic onion order,1 star
127,smell baby diaper extra sweet sour sauce dirty look hassle ice cream machine food much mcdonald,1 star
128,location dog favourite unsalted fry star great crew friendly,5 stars
129,rude mad mess order bad service place,1 star
130,bad place single item phone line,1 star
131,able fresh sweet tea sad check drink drive thru time week bad tea location work new one hubby drink run morning taste test leaf,1 star
132,spice chicken nugget sauce first time thick lot thought burger,3 stars
133,mess drink fry old halfway large condiment,1 star
134,sell hashbrown menu mad first place rush morning window pic extra much hashbrown lol deal pay extra give hashbrown tax jump video people fast food worker card call manager smart sandwich phone sandwich hashbrown good sir use bad decision,1 star
135,clean renovation quality food mcdonald staff friendly new atmosphere thru,5 stars
136,hour drive start breakfast egg mcmuffin,3 stars
137,bad reengineer quarter pounder great extra fat mix take fortune sad great fry bag soggy tip incher distrust,1 star
138,night crew order wrong sleep dinner day crew,1 star
139,edit lot especial area north part parmer fair comparison goddamn waterfall good work star old power outlet table broken covered caution tape understaffed owner place penny family mcdonald bad name,4 stars
140,good place,5 stars
141,good food money fast food people fast food burger fry everytime speak,4 stars
142,southwest saldad crispy home chicken salad answer phone,1 star
143,meh mcdonald pay place clean employee pay bad review meh mcdonald fivestar resort massage mcdonald day alcohol visit mcdonald convenience bad review,3 stars
144,breakfast day breakfast thing edible place,1 star
145,service mcdonald fast service great awesome food kid remodeling right day ready work community community,5 stars
146,nearby choice mcdonald other close distance last order fry yucky rest rubbery inedible,4 stars
147,terrible drive way service order wrong sandwich large coffee people,1 star
148,wrong burger time row morning sheer unnecessaryness mcdonald annoyingmultiple burger wrong time,1 star
149,positive experience order professional friendly last visit,5 stars
150,thru breakfast egg mcmuffin meal thing menu wrong sausage biscuit horrible line long time location,1 star
151,food fresh tasty fabulous great service,5 stars
152,uber eat sauce piece large fry cold sauce existent food mediocre block maybei least tome speak manager voice mail least time bad mcdonald,1 star
153,terrible mcdonald worker food mother long drive minute bad mouthed manager i angry unacceptable,1 star
154,miss order food hot fresh lack accuracy focus speed service,3 stars
155,store last night manager visible drive thru window mask unsafe,1 star
156,food minute line home nugget old fryer second time half meal,1 star
157,time food item order incorrect employee terrible attitude,1 star
158,worry time fact idea,2 stars
159,friendly staff clean time order correct management convenient quick,4 stars
160,mess order redo mess order order cause food posiening order food mom,1 star
161,clean friendly mcdonald friendly fast food restaurant location,5 stars
162,order thing routine mine year egg cheese large fry large sweet tea time meat mcgriddle good,5 stars
163,day breakfast senoir coffee discountmust mcmuffin hot great serviceclean appitet,5 stars
164,time good fry warm order wrong minute hot fry order,3 stars
165,good food drivethur less min,5 stars
166,order right home burger wrong call hour half,3 stars
167,different occasion time least minute food,1 star
168,location mess order order manager rude,1 star
169,staff great fat,1 star
170,ice cream available apple pie cherry piesi cherry useless,1 star
171,mcdonald member mall peace,4 stars
172,girl weekday morning shift ptovide fast thru service world order accurate dozen vehicle time,5 stars
173,everytime mcdonald order wrong time french top special request point cannt customer,1 star
174,bad customer service mcd small stack napkin,1 star
175,service good med water chargei ask big small charge pay choice,4 stars
176,big deal guy window drive sauce bag double location,2 stars
177,awesome food superior customer service nope place decent sausage biscuit,2 stars
178,stellar mcds quarter pounder cheese fry delicious hot good,5 stars
179,everyday morning breakfast work staff error order manager right,4 stars
180,drink time complaint empty drive trash amazing,5 stars
181,nice customer service kid happy meal perfect,5 stars
182,unhealthy cheap breakfast town coffee steal,4 stars
183,quick service friendly staff food guilty pleasure galore,4 stars
184,good location friendly staff food prepared location overnight hour,5 stars
185,staff service great,3 stars
186,happy meal large fry drive thru receipt large sprite straw,1 star
187,decent junk food extra packet sauce extra good quick staff,3 stars
188,last time location burger warm handed cool touch,1 star
189,people happy meal mean box bag bag day row box box people corporate manger email saying rally place negative star,1 star
190,assistant manager rude good customer service parfait,1 star
191,hate medium small morning sure medium,3 stars
192,clean order correct crowded place table,4 stars
193,quick service clean store order,5 stars
194,decent fast food order good price,4 stars
195,mcdonald couple year choice,3 stars
196,ice cream cone good part branch,4 stars
197,waiting order,2 stars
198,average service time food hot complaint,3 stars
199,joke counter young lady work,2 stars
200,guy order wish apple pay min life coffee put cream sugar,1 star
201,friendly service clean good past year,5 stars
202,order messed time great attitude,3 stars
203,big piece hamburger meat slice cheese lazy,1 star
204,standard food service quick efficient outside parking lot area dirty grungy,3 stars
205,mcdonald friendly staff location,5 stars
206,place star worker rude,1 star
207,chicken nugget salt fry disappointed,1 star
208,love fact dining,4 stars
209,open car,3 stars
210,slow thru person window nice window,3 stars
211,fast service clean bathroom nice helpful long food,5 stars
212,thru busy long employee sweet,5 stars
213,great place great food nice warm time,5 stars
214,rush taking order order,1 star
215,horrible experience ordertaker order wrong,1 star
216,great service play area food taste likemcdonald regular pecefull area,4 stars
217,employee product hospital,1 star
218,coffee small hot cup sludge,1 star
219,slow service argumentative cashier abscent management attitude close cheap meh turd,1 star
220,issue amazing service friendly staff,4 stars
221,issue sweet tea sweet taste water good,4 stars
222,food mobile way refund item,3 stars
223,place mess short hastle,1 star
224,customer first window pm,1 star
225,guy uber order order min order,1 star
226,bad driver item lady attitude full,1 star
227,convenient fast food fast food great quality mediocre,4 stars
228,well location special price deal location,5 stars
229,,1 star
230,food cold fresh fry gife fry,1 star
231,small mcdonald service friendly staff location perfect,5 stars
232,good mcds clean store friendly service quality food,5 stars
233,bad mcdonald order employee terrible mood unrespectful,1 star
234,bad great open,3 stars
235,people other nose mouth mask,3 stars
236,milkshake machine,1 star
237,chicken sandwich sloppy apart line veggie typical mcdonald,2 stars
238,order wrong cold,1 star
239,item thru damn order,1 star
240,food cold taste disappointed,2 stars
241,open hour dining room early pm dirty location,1 star
242,great experience manager wonderful midnight friendly fresh food,5 stars
243,food cool big mac dry mcdonald fresh hot,3 stars
244,proper image standard manager hickey excessive unprofessionalism,1 star
245,quick ordera,4 stars
246,fast second less order food hand,5 stars
247,long cold fry old nugget whataburger corner,2 stars
248,dining room,4 stars
249,mcgriddle time,5 stars
250,minute sausage biscuit manager rude ignoras front counter talk poor service,1 star
251,place port potty nasty food cold dry location care,1 star
252,delicious correct,5 stars
253,good fast food,5 stars
254,fast service nice folk,5 stars
255,food number lg burger pink middle fry cold great experience,1 star
256,pleasant staffalway friendly prompt service hot fry,5 stars
257,poor experience single time wrong machine ice cream coffee maker poor management,1 star
258,compaint open public short time,4 stars
259,good food hot,5 stars
260,terrible service cashier min response next door,1 star
261,forgot fry order sauce piece nugget answer phone money fry,1 star
262,great people,5 stars
263,many spanish donald trashy cheap,1 star
264,excellent breakfast sandwich frappe,5 stars
265,people work spanish,1 star
266,alot small remodel staff,4 stars
267,fast friendly service clean bathroom ice cream machine,4 stars
268,line sweet tea lil weak,4 stars
269,people manager rude service terrible sue,1 star
270,iced tea water clean coffee pot yuck,1 star
271,many year mcdonald time different drop redbox rental,1 star
272,filetofish hot,3 stars
273,bussin,5 stars
274,much potential great location bad ingredient,1 star
275,take option,5 stars
276,slow stop work minute food,2 stars
277,service outstanding food tasty,4 stars
278,mcdonald breakfast taste convenient cheap,3 stars
279,breakfast steak egg bagel coffee great,5 stars
280,people day goodnight fry bad lmao,4 stars
281,careful packing food drivethru,3 stars
282,great thing menu,3 stars
283,nice friendly people special order 1st,5 stars
284,refill visit ice cream crew employee professional,3 stars
285,order wrong french fry cold salty milk shake,3 stars
286,good coffee yesterday good,3 stars
287,great employee fresh,5 stars
288,hard people absolute patience service good product,5 stars
289,great way kid great weekend rest week,5 stars
290,efficient fresh food,5 stars
291,great,5 stars
292,bad parmermcneil location customer service,1 star
293,cheap mcdonald,3 stars
294,hour order car,1 star
295,order incorrect hub,2 stars
296,great friendly service,5 stars
297,dry burger incompetent employee,1 star
298,slow ice cream machine,1 star
299,fry grease nugget horrible ranch old,1 star
300,happy meal breed corner obvious,1 star
301,bad service,1 star
302,good food supersize whole chain,1 star
303,grandchild staff child friendly,5 stars
304,good food,5 stars
305,buger right,5 stars
306,first time mcdonald mexican music street tijuanaeating burger,2 stars
307,cash register order lunch time,1 star
308,good,4 stars
309,fast hot food mcdonald way,5 stars
310,mayo sandwich allergic severity,1 star
311,fry hic,2 stars
312,pride service,2 stars
313,accurate mcdonald,4 stars
314,good burger honduran beef flavorful,5 stars
315,good fast service hot food,5 stars
316,negative star awful lock business hour customer,1 star
317,clean neat friendly staff hot food,5 stars
318,nothing well big fry,5 stars
319,average unclean cheap cool staff,3 stars
320,owner location legal illegal immigration today idea,1 star
321,clean place good music sound system close discount movie,3 stars
322,bleh food great bathroom,3 stars
323,good certain day,3 stars
324,good place ready remodel sovservice,4 stars
325,,1 star
326,24hrs drive thru,2 stars
327,consistent quality store,4 stars
328,fast tummy,3 stars
329,piece gum food,1 star
330,leave dog outdoor patio,2 stars
331,1st mcdonald year clean whistle,5 stars
332,order right,3 stars
333,great customer service drive,4 stars
334,service dog,2 stars
335,clean service food,3 stars
336,location ice cream machine broken time,4 stars
337,fast service drive,5 stars
338,bad service food,1 star
339,facility clean food great,5 stars
340,side kid noone answer phone,3 stars
341,food people rude,1 star
342,fast service love,5 stars
343,junk fast food good,1 star
344,cash minute,1 star
345,service chicken patty small,3 stars
346,service good time family wonderful,5 stars
347,solid mcdonald lot,4 stars
348,weird location food okay,3 stars
349,good food late,4 stars
350,fast drive thru,4 stars
351,burger stale,3 stars
352,little sketchy small encampment,2 stars
353,fresh hot,4 stars
354,employee non idiot,1 star
355,nice quick meal snack,4 stars
356,mcmuffin fast breakfast stick,5 stars
357,cheap mcdonald area,4 stars
358,fry stale customer service poor,2 stars
359,friendly staff quick service clean,4 stars
360,manager rude staff unprofessional,1 star
361,yummy,5 stars
362,great service fast food,4 stars
363,,1 star
364,great quick meal,4 stars
365,fast other,5 stars
366,favorite spot,5 stars
367,gross,1 star
368,fast drive morning,5 stars
369,fast order correct,5 stars
370,good food inexpensive price,5 stars
371,breakfast chicken sandwich smile,5 stars
372,location good,3 stars
373,great food chicken nugget awesome,5 stars
374,quick food service,4 stars
375,good sausage egg cheese biscuit,4 stars
376,,4 stars
377,good,5 stars
378,heating lamp,3 stars
379,friendly service clean restroom,5 stars
380,minute,1 star
381,good food,3 stars
382,,3 stars
383,beautiful fast customer service,4 stars
384,great management accurate,5 stars
385,food gross cheap,2 stars
386,mother pancake,5 stars
387,customer service lot work,3 stars
388,french fry,5 stars
389,good fast service,4 stars
390,bad attitude people,1 star
391,good,4 stars
392,love breakfast sandwich,5 stars
393,mcdonald kiosk front,3 stars
394,tasty excellent customer service,5 stars
395,great place clean room,5 stars
396,great service sweet,5 stars
397,great service,5 stars
398,fast service friendly staff,5 stars
399,accurate hot food,5 stars
400,mcdonald mcdonald less,3 stars
401,place,2 stars
402,,1 star
403,store cold,4 stars
404,clean friendly good service,5 stars
405,mcdonald,3 stars
406,excellent drummer,5 stars
407,fast service food mcdonald,5 stars
408,place time,1 star
409,service awful employee,1 star
410,fast fresh friendly,3 stars
411,order wrong,2 stars
412,machine,1 star
413,son fry,4 stars
414,order right cleanliness,3 stars
415,food wrong half time,3 stars
416,nice service,5 stars
417,great food amazing,5 stars
418,,5 stars
419,favorite,5 stars
420,nice experience fine,4 stars
421,fast service,5 stars
422,cone hot day,4 stars
423,employee,3 stars
424,good service,5 stars
425,staff kind,4 stars
426,good service,5 stars
427,good,5 stars
428,self kiosk,5 stars
429,food cold,1 star
430,mcdonald,2 stars
431,dirty front area lot,2 stars
432,bad chicken burger,1 star
433,fresh food,4 stars
434,good food,5 stars
435,fast food,5 stars
436,excellent,5 stars
437,,1 star
438,dirty bathroom lackluster,2 stars
439,mcdonald,3 stars
440,mcdonald,3 stars
441,hot fresh fish sandwich,5 stars
442,golden arch,3 stars
443,quick service,4 stars
444,long line,3 stars
445,great customer service,5 stars
446,mcdonald,4 stars
447,terrible phone experience,2 stars
448,,3 stars
449,food hot,5 stars
450,bun,2 stars
451,nice,3 stars
452,consistent brand,4 stars
453,wrap available,3 stars
454,quick,5 stars
455,great outdoor atmosphere,4 stars
456,good environment,3 stars
457,food horrible,1 star
458,free ice cream app,4 stars
459,good,5 stars
460,great service quick,4 stars
461,mcdonald,3 stars
462,free refill soda,3 stars
463,good,5 stars
464,clean,4 stars
465,nice place,5 stars
466,busy,2 stars
467,,3 stars
468,breakfast nice,5 stars
469,slow,3 stars
470,great service,4 stars
471,,3 stars
472,nugget,2 stars
473,fast food delivery,5 stars
474,quick,4 stars
475,nice staff,5 stars
476,,5 stars
477,love location,5 stars
478,,3 stars
479,,3 stars
480,wish,3 stars
481,food cold,3 stars
482,fast cheap eat,5 stars
483,service,4 stars
484,slow,2 stars
485,people friendly,4 stars
486,friendly,4 stars
487,use,2 stars
488,love oatmeal,3 stars
489,great,5 stars
490,service good,4 stars
491,,5 stars
492,mcdonald,2 stars
493,nice,4 stars
494,mid,2 stars
495,great service,4 stars
496,burger place,3 stars
497,mcdonald,4 stars
498,gross,1 star
499,,3 stars
500,tasty usual,5 stars
501,,3 stars
502,,4 stars
503,,4 stars
504,great service,4 stars
505,good good,3 stars
506,yummy,5 stars
507,bad,1 star
508,yummy,5 stars
509,clean friendly,4 stars
510,good,4 stars
511,horrible service,1 star
512,slow,1 star
513,,2 stars
514,friendly staff,4 stars
515,,3 stars
516,good,3 stars
517,bad service,1 star
518,mcdonald,3 stars
519,,3 stars
520,service,5 stars
521,good,5 stars
522,awful,1 star
523,,1 star
524,,5 stars
525,rude,1 star
526,dank,5 stars
527,gbaby place,3 stars
528,mcdonald,5 stars
529,rude employee,2 stars
530,food,4 stars
531,average,3 stars
532,decent breakfast,5 stars
533,,3 stars
534,friendly,3 stars
535,horrible,1 star
536,mcds,3 stars
537,,3 stars
538,,1 star
539,norm,3 stars
540,,3 stars
541,,5 stars
542,fast food,4 stars
543,bad staff,1 star
544,excellent,5 stars
545,,5 stars
546,mcdonald,5 stars
547,mcdonald,5 stars
548,mcdonald,4 stars
549,consistency,5 stars
550,awesomeness,4 stars
551,mcdonald,1 star
552,breakfast baby,4 stars
553,macdonald,3 stars
554,all,5 stars
555,terrible service ineptitude upset net work waste time review order,1 star
556,good place quick simple,5 stars
557,excellent burger place good service friendly offer nice clean,5 stars
558,health much,3 stars
559,week twice coffee ask cream sugar work coffee sugar courage,1 star
560,excellent,5 stars
561,excellent place excellent staff,5 stars
562,food tasty hot chocolate,4 stars
563,,5 stars
564,good attention spanish,5 stars
565,,2 stars
566,,5 stars
567,bad,1 star
568,good customer service impeccable,5 stars
569,excellent service,5 stars
570,dollar chicken burger normal tasty,5 stars
571,hunger time,5 stars
572,excellent atention,5 stars
573,excellent place careful attention,5 stars
574,good fast,5 stars
575,neat promptness good,4 stars
576,love,5 stars
577,neutral,3 stars
578,excellent,5 stars
579,excellent,5 stars
580,service,4 stars
581,neutral,3 stars
582,good,4 stars
583,excellent,5 stars
584,mistake order,1 star
585,excellent,5 stars
586,good burger,5 stars
587,poor,2 stars
588,excellent,5 stars
589,good,4 stars
590,excellent,5 stars
591,good,4 stars
592,poor,2 stars
593,waiting time,1 star
594,disappointing,1 star
595,speed,5 stars
596,excellent,5 stars
597,neutral,3 stars
598,excellent,5 stars
599,excellent,5 stars
600,excellent,5 stars
601,less,3 stars
602,love,5 stars
603,,3 stars
604,,5 stars
605,poor,2 stars
606,excellent care,5 stars
607,excellent,5 stars
608,,5 stars
609,regular,3 stars
610,excellent,5 stars
611,good,4 stars
612,excellent,5 stars
613,excellent,5 stars
614,good,4 stars
615,good,4 stars
616,neutral,3 stars
617,excellent,5 stars
618,excellent,5 stars
619,excellent,5 stars
620,neutral,3 stars
621,good,4 stars
622,good,4 stars
623,neutral,3 stars
624,excellent,5 stars
625,staff,1 star
626,excellent,5 stars
627,excellent,5 stars
628,good,4 stars
629,poor,2 stars
630,excellent,5 stars
631,excellent,5 stars
632,poor,2 stars
633,poor,2 stars
634,excellent,5 stars
635,good,4 stars
636,poor,2 stars
637,good,4 stars
638,neutral,3 stars
639,poor,2 stars
640,good,4 stars
641,excellent,5 stars
642,good,4 stars
643,excellent,5 stars
644,good,4 stars
645,good,4 stars
646,ugly burger,2 stars
647,excellent,5 stars
648,excellent,5 stars
649,neutral,3 stars
650,excellent,5 stars
651,neutral,3 stars
652,excellent,5 stars
653,good,4 stars
654,good,4 stars
655,excellent,5 stars
656,staff rude dismissive,1 star
657,neutral,3 stars
658,excellent,5 stars
659,poor,2 stars
660,neutral,3 stars
661,time,1 star
662,excellent,5 stars
663,neutral,3 stars
664,excellent,5 stars
665,excellent,5 stars
666,excellent,5 stars
667,excellent,5 stars
668,excellent,5 stars
669,poor,2 stars
670,excellent,5 stars
671,neutral,3 stars
672,poor,2 stars
673,neutral,3 stars
674,excellent,5 stars
675,poor,2 stars
676,good,4 stars
677,good,4 stars
678,good,4 stars
679,excellent,5 stars
680,excellent,5 stars
681,excellent,5 stars
682,neutral,3 stars
683,neutral,3 stars
684,excellent,5 stars
685,excellent,5 stars
686,excellent,5 stars
687,good,4 stars
688,neutral,3 stars
689,excellent,5 stars
690,good,4 stars
691,excellent,5 stars
692,excellent,5 stars
693,excellent,5 stars
694,excellent,5 stars
695,good,4 stars
696,poor,2 stars
697,poor,2 stars
698,excellent,5 stars
699,neutral,3 stars
700,time,1 star
701,excellent,5 stars
702,excellent,5 stars
703,neutral,3 stars
704,excellent,5 stars
705,excellent,5 stars
706,excellent,5 stars
707,excellent,5 stars
708,excellent,5 stars
709,good,1 star
710,neutral,3 stars
711,neutral,3 stars
712,excellent,5 stars
713,excellent,5 stars
714,excellent,5 stars
715,excellent,5 stars
716,excellent,5 stars
717,good,4 stars
718,neutral,3 stars
719,excellent,5 stars
720,good,4 stars
721,neutral,3 stars
722,excellent,5 stars
723,excellent,5 stars
724,sad,1 star
725,neutral,3 stars
726,neutral,3 stars
727,sad,1 star
728,excellent,5 stars
729,bad,1 star
730,good,4 stars
731,excellent,5 stars
732,unmotivated staff,1 star
733,good,4 stars
734,excellent,5 stars
735,good,4 stars
736,neutral,3 stars
737,excellent,5 stars
738,neutral,3 stars
739,excellent,5 stars
740,neutral,3 stars
741,bad,1 star
742,good,4 stars
743,poor,2 stars
744,neutral,3 stars
745,neutral,3 stars
746,excellent,5 stars
747,good,4 stars
748,excellent,5 stars
749,excellent,5 stars
750,good,4 stars
751,neutral,3 stars
